"Zeiron Xgen12 I7-12700f 32gb Ram 512gb M.2 Ssd 12gb Rtx3060 27"" 165hz Curved Oyuncu Bilgisayarý ZRN-XGEN12 ",31249,5.0,500,16,Intel Core i7,141,Free Dos,CÝTY BÝLÝÞÝM,Zeiron
"METSA Gt07 I3-2100 8gb Ram 320gb 19"" Masaüstü Bilgisayar GT07 ",3899,1.0,1000,16,Intel Core i7,141,Free Dos,METSA BÝLÝÞÝM,Metsa
"Gamepage Ztx15 Ryzen 5 3600 16gb 240gb Ssd 1tb Hdd Rx550 23.8"" Masaüstü Oyuncu Bilgisayarý GMP-ZTX15 ",11873,5.0,500,16,Intel Core i7,141,Free Dos,ÝBC BÝLÝÞÝM,Gamepage
"Everest Everbook Eb-15r03 I5-1135g7 16gb 500ssd 15.6"" Fullhd Freedos Taþýnabilir Bilgisayar T21677C ",11669,1.0,500,16,Intel Core i7,141,Free Dos,Teknoraks,Everest
HP Pavýlýon Gamýng 15-dk2011nt 4g8q9ea I5-11300h 16gb 256gb Ssd 1tb Hdd Rtx 3050ti 4gb 15.6 Fhd Dos 4G8Q9EA ,27299,4.5,500,16,Intel Core i7,141,Free Dos,MCY TEKNOLOJÝ,HP
"Gamepage Viper X90 I5-3470 16gb 240gb 1tb Rx550 23.8"" Curved Masaüstü Bilgisayar GMP-RG80 ",8843,5.0,500,16,Intel Core i7,141,Free Dos,ÝBC BÝLÝÞÝM,Gamepage
"Monster Huma H4 V5.1.4 Intel Core I5-1235u 8gb Ram 512gb Ssd Freedos 141"" Fhd Rose Gold ",12399,4.9,500,16,Intel Core i7,141,Free Dos,Monster Notebook,Monster
"LENOVO Thinkpad E15 Gen 2 20td004ctx I5-1135g7 16gb 512gb Ssd Mx450 2gb 15.6"" W10p Taþýnabilir Bilgi 195348984799 ",19999,4.5,1000,16,Intel Core i7,141,Free Dos,notebookstore,LENOVO
"DMC N01x (pubggta 5) I5-3470 16gb Ram25gb Ssd+1tb Hdd4gb Gt74023.8"" Oyuncu Bilgisayarý 0233 ",8799,5.0,500,16,Intel Core i7,141,Free Dos,DMCBÝLGÝSAYAR,DMC
Monster Tulpar T7 V21.8.9 Intel Core I7 11800h 64gb 1tb Ssd Rtx3070 Freedos 17.3 Qhd ,40999,2.0,500,16,Intel Core i7,141,Free Dos,Monster Notebook,Monster
"ASUS Tuf Gamýng A15 Fa506ýcb-hn177 Amd Ryzen 5-4600h 8gb Ddr4 512gb Ssd Rtx3050 15.6"" 144hz Dos FA506ICB-HN177 ",18999,4.5,1000,16,Intel Core i7,141,Free Dos,Karinabiliþim,ASUS
